1A,1B,1C,2,← Groups from AD normalisation
,,,,
YPR185W,YDR082W,,YNL238W,
YPR199C,YDR083W,,YNL248C,
YPR200C,YDR084C,,YNL252C,
YBL011W,YDR085C,,YNL268W,
YBR007C,YDR086C,,YNL273W,
YBR146W,YDR092W,,YNL289W,
YBR203W,YDR094W,,YNL301C,
YBR282W,YDR100W,,YNL317W,
YCL024W,YDR111C,,YNR024W,
YCR006C,YDR115W,,YNR064C,
YDL005C,YDR116C,,YNR069C,
YDL054C,YDR119W-A,,YOL017W,
YDL170W,YDR121W,,YOL036W,
YDR177W,YDR124W,,YOL045W,
YDR192C,YDR125C,,YOL056W,
YDR277C,YDR126W,,YOL078W,
YDR289C,YDR133C,,YOL084W,
YDR322W,YDR139C,,YOL098C,
YER050C,YDR140W,,YOL105C,
YER102W,YDR142C,,YOL106W,
YER128W,YDR154C,,YOR001W,
YFR032C-B,YDR155C,,YOR018W,
YGL025C,YDR156W,,YOR020C,
YGL242C,YDR157W,,YOR025W,
YGR212W,YDR158W,,YOR028C,
YHR039C-A,YDR160W,,YOR030W,
YHR168W,YDR162C,,YOR051C,
YIR011C,YDR163W,,YOR058C,
YJR141W,YDR167W,,YOR078W,
YMR010W,YDR171W,,YOR106W,
YMR106C,YDR174W,,YOR117W,
YMR112C,YDR179W-A,,YOR118W,
YMR115W,YDR181C,,YOR134W,
YNL008C,YDR182W-A,,YOR144C,
YNL035C,YDR183W,,YOR147W,
YNL097C-B,YDR190C,,YOR156C,
YOL041C,YDR191W,,YOR162C,
YOL082W,YDR196C,,YOR164C,
YOL141W,YDR197W,,YOR171C,
YOL149W,YDR198C,,YOR175C,
YOR033C,YDR200C,,YOR195W,
YOR039W,YDR202C,,YOR216C,
YOR101W,YDR204W,,YOR223W,
YOR145C,YDR206W,,YOR229W,
YOR194C,YDR207C,,YOR256C,
YOR327C,YDR210W,,YOR276W,
YOR349W,YDR214W,,YOR298C-A,
YOR379C,YDR224C,,YOR299W,
YPL069C,YDR225W,,YOR313C,
YPL131W,YDR226W,,YOR319W,
,YDR231C,,YOR346W,
,YDR234W,,YOR352W,
,YDR236C,,YOR354C,
,YDR237W,,YOR360C,
,YDR239C,,YOR372C,
,YDR242W,,YOR385W,
,YDR245W,,YOR386W,
,YDR246W,,YPL004C,
,YDR246W-A,,YPL011C,
,YDR248C,,YPL032C,
,YDR249C,,YPL065W,
,YDR254W,,YPL072W,
,YDR257C,,YPL075W,
,YDR259C,,YPL083C,
,YDR260C,,YPL086C,
,YDR262W,,YPL089C,
,YDR265W,,YPL124W,
,YDR268W,,YPL153C,
,YDR275W,,YPL157W,
,YDR279W,,YPL158C,
,YDR280W,,YPL159C,
,YDR282C,,YPL181W,
,YDR284C,,YPL195W,
,YDR286C,,YPL212C,
,YDR288W,,YPL215W,
,YDR294C,,YPL228W,
,YDR295C,,YPL255W,
,YDR296W,,YPL262W,
,YDR299W,,YPL279C,
