1,2A,2B,2C,3A,3B
,,YHR068W,,YJL128C,
,,YHR071W,,YJL141C,
,,YHR072W-A,,YJL146W,
,,YHR079C,,YJL154C,
,,YHR083W,,YJL155C,
,,YHR087W,,YJL156C,
,,YHR089C,,YJL157C,
,,YHR100C,,YJL168C,
,,YHR104W,,YJL207C,
,,YHR106W,,YJR005W,
,,YHR110W,,YJR031C,
,,YHR112C,,YJR033C,
,,YHR117W,,YJR041C,
,,YHR132W-A,,YJR042W,
,,YHR138C,,YJR059W,
,,YHR141C,,YJR060W,
,,YHR143W,,YJR066W,
,,YHR143W-A,,YJR090C,
,,YHR162W,,YJR092W,
,,YHR163W,,YJR109C,
,,YHR175W,,YJR122W,
,,YHR178W,,YJR137C,
,,YHR193C,,YJR140C,
,,YHR194W,,YKL010C,
,,YHR199C,,YKL014C,
,,YHR204W,,YKL022C,
,,YIL002W-A,,YKL029C,
,,YIL009C-A,,YKL032C,
,,YIL010W,,YKL038W,
,,YIL016W,,YKL057C,
,,YIL023C,,YKL059C,
,,YIL027C,,YKL062W,
,,YIL030C,,YKL068W,
,,YIL043C,,YKL079W,
,,YIL047C,,YKL087C,
,,YIL051C,,YKL092C,
,,YIL052C,,YKL101W,
,,YIL062C,,YKL106W,
,,YIL064W,,YKL109W,
,,YIL065C,,YKL112W,
,,YIL069C,,YKL129C,
,,YIL111W,,YKL135C,
,,YIL113W,,YKL148C,
,,YIL114C,,YKL164C,
,,YIL121W,,YKL168C,
,,YIL123W,,YKL171W,
,,YIL148W,,YKL173W,
,,YIL153W,,YKL184W,
,,YIL157C,,YKL194C,
,,YIR031C,,YKL195W,
,,YIR035C,,YKL197C,
,,YIR036C,,YKL205W,
,,YIR037W,,YKL215C,
,,YIR038C,,YKR003W,
,,YJL019W,,YKR008W,
,,YJL034W,,YKR017C,
,,YJL035C,,YKR019C,
,,YJL044C,,YKR021W,
,,YJL052W,,YKR027W,
,,YJL054W,,YKR031C,
,,YJL055W,,YKR054C,
,,YJL062W-A,,YKR082W,
,,YJL065C,,YKR086W,
,,YJL079C,,YKR095W,
,,YJL093C,,YKR096W,
,,YJL094C,,YLL001W,
,,YJL117W,,YLL010C,
,,YJL121C,,YLL011W,
,,YJL127C-B,,YLL013C,
,,YJL133C-A,,YLL019C,
,,YJL136C,,YLL021W,
,,YJL140W,,YLL027W,
,,YJL143W,,YLL029W,
,,YJL144W,,YLL034C,
,,YJL151C,,YLL036C,
,,YJL158C,,YLL040C,
,,YJL166W,,YLL058W,
,,YJL173C,,YLR002C,
,,YJL174W,,YLR006C,
,,YJL177W,,YLR019W,
,,YJL184W,,YLR024C,
,,YJL189W,,YLR039C,
,,YJL190C,,YLR045C,
,,YJL191W,,YLR067C,
,,YJL192C,,YLR069C,
,,YJL210W,,YLR071C,
,,YJL217W,,YLR073C,
,,YJR010W,,YLR086W,
,,YJR017C,,YLR090W,
,,YJR024C,,YLR094C,
,,YJR025C,,YLR096W,
,,YJR034W,,YLR106C,
,,YJR044C,,YLR108C,
,,YJR046W,,YLR115W,
,,YJR049C,,YLR129W,
